url,header,release time,article content,formatted date,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
https://www.reuters.com/article/volkswagen-software-operatingsystem/corrected-vw-seeks-open-source-approach-to-refine-car-operating-system-idUSL8N2DW27C,['CORRECTED-VW seeks open-source approach to refine car operating system'],"['June 19, 2020 /  12:02 PM / 14 days ago']","['(Corrects headline and lead paragraph to clarify that the carmaker plans to make use of an open source approach to development, rather than working with a rival carmaker) ', 'FRANKFURT, June 19 (Reuters) - Volkswagen wants to use an open-source approach to refine elements of a software-based car operating system being developed by the carmaker, Christian Senger, its board member responsible for digital services and software, said. ', 'With the advent of autonomous driving, carmakers have been forced to link up radar, camera and ultrasonic sensors and connect them to braking and steering components, something which requires thousands of lines of software code. ', '“There is a race to create automotive operating systems. We are seeing that many non-automotive players are building up competence in this area,” Senger told Reuters. ', 'Volkswagen board member Thomas Ulbrich said in March that U.S. electric car manufacturer Tesla has a 10-year start on rivals when it comes to building electric cars and software. ', '“In future there will likely be fewer automotive operating systems than carmakers,” Senger explained. ', '“The operating system is not something that we will control on our own. We will define its core and then quickly include open-source components, to create standards. This will create opportunities for partnerships,” Senger said. ', 'Adopting an open-source approach to development with external partners is a new approach, Senger said. “This is almost unimaginable for traditional carmakers. But this is the key breakthrough opportunity.” ', 'In January, Volkswagen launched Car.Software, an independent unit responsible for developing lines of code, with around 3,000 digital experts and a budget of more than 7 billion euros ($7.8 billion). By 2025 it wants to have more than 10,000 software experts. ', 'Senger said it has received many inquires from other carmakers about whether they can participate in the project. ', '“We are in the process of looking at the opportunities,” Senger said, adding that Volkswagen wants to create a new system, rather than integrate legacy software from rivals. ', '“This will filter out many who are not willing to do this,” Senger said about potential partners. ($1 = 0.8925 euros) (Reporting by Edward Taylor and Jan Schwartz; Editing by Alexander Smith and Kevin Liffey)']",2020-06-19 12:02:00,0.0,1.0,0.0,0.0,0.008,0.945,0.046,0.8779
https://www.reuters.com/article/volkswagen-skoda/vws-skoda-operating-profit-drops-25-in-q1-expects-biggest-hit-in-q2-idUSP7N2B9009,"[""VW's Skoda operating profit drops 25% in Q1, expects biggest hit in Q2""]","['May 4, 2020 /  1:06 PM / 17 days ago']","['PRAGUE, May 4 (Reuters) - Operating profit at Czech carmaker Skoda Auto, part of the Volkswagen Group, fell 25% in the first quarter to 307 million euros as the new coronavirus outbreak started to bite, the company said on Monday. ', 'Skoda said it expected the biggest impact from the outbreak to hit in the second quarter after a multi-week outage at its domestic plants. ', 'In the first quarter, revenue was down 1.4% to 4.85 billion euros while worldwide deliveries fell 24% to 232,900 vehicles. (Reporting by Jason Hovet, Editing by Michael Kahn)']",2020-05-04 13:06:00,0.0,0.805,0.195,0.4404,0.0,0.969,0.031,0.4404
https://www.reuters.com/article/volkswagen-skoda-ceo/vws-skoda-boss-maier-to-step-down-at-end-of-july-idUSL1N2EG0RI,"[""VW's Skoda boss Maier to step down at end of July""]","['July 9, 2020 /  1:23 PM / 7 days ago']","['PRAGUE, July 9 (Reuters) - Bernhard Maier, chairman of Czech carmaker Skoda Auto, part of the Volkswagen Group, will leave his post after nearly five years at the end of July, the company said on Thursday. ', 'Skoda said a successor would be elected by the board in August. ', 'Reporting by Jason Hovet; Editing by Susan Fenton']",2020-07-09 13:23:00,0.0,1.0,0.0,0.0,0.021,0.945,0.034,0.1779
https://www.reuters.com/article/volkswagen-saic/volkswagen-saic-jv-to-revamp-shanghai-plants-to-make-audi-sedans-govt-document-idUSL3N2EK3DK,['Volkswagen-SAIC JV to revamp Shanghai plants to make Audi sedans - govt document'],"['July 14, 2020 /  5:50 AM / Updated 13 hours ago']","['BEIJING, July 14 (Reuters) - Volkswagen AG and its Chinese joint venture partner SAIC Motor plan to invest 4.13 billion yuan ($590 million) to revamp their car plants in Shanghai to make new Audi sedans, according to a government document seen by Reuters. ', 'SAIC Volkswagen, the joint venture (JV) of Wolfsburg-based automaker and China’s biggest automaker, currently only sells cars under the Volkswagen and Skoda marques. Audi is Volkswagen’s luxury car unit. ', 'With the revamp at its Shanghai plants, the JV is aiming for an annual manufacturing capacity of 60,000 Audi A7L sedans and 60,000 new Volkswagen sport-utility vehicles. The total capacity at the plants will remain unchanged. ', 'The revamp, expected to be done by the end 2020, comes as demand for luxury cars in China remained firm even as sales in the world’s biggest auto market slumped over the past two years. ', 'SAIC Chairman Chen Hong has previously said the JV plans to roll out the first Audi product in early 2022. ', 'The Audi manufacturing will also use printing facilities at the JV’s newly built MEB platform, a Volkswagen platform that enables efficient production of various electric vehicle models. ', 'Volkswagen hopes to start production based on its MEB platform in Shanghai from the fourth quarter and has sought government nod for production of its electric ID.4 vehicles. ', 'Audi China said its project with SAIC was proceeding according to plan, without giving any more details. SAIC did not immediately reply to a request for comment. ', 'SAIC Volkswagen’s sales fell 37% from a year ago to 577,385 vehicles in the first half of 2020 as the coronavirus pandemic hit demand in China, while total industry sales fell 17%. The JV sold 2 million cars last year. ', 'Audi also has a long-term collaboration with FAW Group in China to build all its cars in the northeastern city of Changchun and southern city of Foshan. ($1 = 7.0055 Chinese yuan) (Reporting by Yilei Sun and Brenda Goh; Editing by Himani Sarkar)']",2020-07-14 05:50:00,0.0,1.0,0.0,0.0,0.015,0.968,0.017,0.3744
https://www.reuters.com/article/volkswagen-results-q2/volkswagen-sees-q2-operating-loss-over-coronavirus-impact-idUSL5N2CH2NH,['Volkswagen sees Q2 operating loss over coronavirus impact'],"['April 29, 2020 /  8:28 AM / 13 days ago']","['HAMBURG, April 29 (Reuters) - German carmaker Volkswagen is expecting an operating loss in the current quarter due the impact of the coronavirus pandemic, its chief financial officer said on Wednesday. ', 'For the full year, the company is seeing an operating profit, Frank Witter said in a call with journalists. “That is what we’re assuming so far.” (Reporting by Jan Schwartz Writing by Thomas Seythal Editing by Riham Alkousaa)']",2020-04-29 08:28:00,0.247,0.753,0.0,-0.3182,0.032,0.927,0.041,0.1531
https://www.reuters.com/article/volkswagen-results-q1/vw-says-expects-to-be-profitable-in-2020-as-q1-earnings-drop-idUSL5N2CH11M,['VW says expects to be profitable in 2020 as Q1 earnings drop'],"['April 29, 2020 /  5:33 AM / 7 days ago']","['FRANKFURT, April 29 (Reuters) - Volkswagen on Wednesday said it expected to be profitable on a full-year basis even as the coronavirus pandemic caused first-quarter earnings to plunge. ', 'Earlier this month, Volkswagen Group said car sales dropped by 23% on the year, causing operating profit to tumble 81% in the January to March period, forcing the car and trucks manufacturer to withdraw its outlook for 2020. ', 'In February Volkswagen had said it aimed to achieve customer deliveries in line with the previous year, revenue growth of 4% in 2020 and slightly higher passenger car deliveries. (Reporting by Edward Taylor Editing by Michelle Martin)']",2020-04-29 05:33:00,0.0,0.791,0.209,0.4404,0.0,0.923,0.077,0.8126
https://www.reuters.com/article/volkswagen-mexico/volkswagens-mexico-unit-urges-workers-to-reconsider-demands-for-raise-idUSL2N2EU2OD,"[""Volkswagen's Mexico unit urges workers to reconsider demands for raise""]","['July 23, 2020 /  11:45 PM / 5 days ago']","['MEXICO CITY, July 23 (Reuters) - Volkswagen’s Mexico unit on Thursday urged thousands of employees in the central state of Puebla to reconsider their demands for salary increases as the company anticipates a 24% drop in domestic sales due to the coronavirus. ', 'After suspending operations in Mexico for more than three months to contain the pandemic, the automaker faces a contract negotiation in which its unionized workers in Puebla are seeking a 12% wage increase. ', 'Workers could go on strike starting Aug. 18 if their demands are not met, the union told local media. ', 'The union did not immediately respond to a Reuters request for comment. ', 'Volkswagen was one of the last automakers to resume operations in June after strict health measures put in place by Puebla’s state government. Puebla’s capital is a hotbed for the coronavirus, with almost 11,000 confirmed cases. ', '“Now that there are no (resources), we have to find more creative solutions,” Volkswagen spokesman Mauricio Kuri said in an interview with local radio. ', 'He added that Volkswagen had not laid off workers in Mexico during the crisis. ', 'As of May, the company had 11,364 employees at its plant in Puebla, including administrative and technical workers. ', 'Kuri said more than 600 employees who are considered “vulnerable” to the virus remained in their homes and had to be temporarily replaced. ', 'Volkswagen expects to sell less than a million new vehicles in the Mexican market this year as sales near their lowest levels since the economic crisis of 2009, when fewer than 755,000 units were sold, Kuri said. (Reporting by Sharay Angulo; Editing by Peter Cooney)']",2020-07-23 23:45:00,0.0,1.0,0.0,0.0,0.059,0.922,0.019,-0.8781
https://www.reuters.com/article/volkswagen-management/vw-ceo-apologised-to-supervisory-board-for-inappropriate-remarks-idUSL8N2DM4LJ,"['VW CEO apologised to supervisory board for ""inappropriate"" remarks']","['June 9, 2020 /  2:13 PM / 16 days ago']","['FRANKFURT, June 9 (Reuters) - Volkswagen Chief Executive Herbert Diess apologised to the company’s supervisory board for having made “inappropriate and wrong” statements at an internal event, the carmaker said on Tuesday. ', 'The public acknowledgment that Diess had been forced to apologise to the 19-member board of directors amounts to a severe admonishment of Diess, who had his portfolio of responsiblities curtailed on Monday. ', '“The members of the Supervisory Board accepted the apology of Dr. Diess, and will continue to support him in his work,” the statement added. ', 'Volkswagen replaced Diess as chief executive of the VW brand on Monday and installed chief operating officer Ralf Brandstaetter to lead cost cutting efforts at the company’s largest plants in Germany. ', 'Diess remains chief executive of a group which also includes brands such as Audi, Bentley, Skoda, Lamborghini and Porsche. ', 'Reporting by Jan Schwartz and Ilona Wissenbach and Edward\nTaylor, writing by Edward Taylor\nEditing by Keith Weir']",2020-06-09 14:13:00,0.0,0.851,0.149,0.1027,0.043,0.896,0.061,0.2263
https://www.reuters.com/article/volkswagen-management-diess/exclusive-volkswagen-supervisory-board-to-discuss-vw-brand-leadership-sources-idUSS8N2D9086,['EXCLUSIVE-Volkswagen supervisory board to discuss VW brand leadership -sources'],"['June 8, 2020 /  1:13 PM / in 13 days']","['FRANKFURT, June 8 (Reuters) - Volkswagen’s supervisory board will discuss the leadership of the company’s core VW brand at an extraordinary meeting due to be held on Monday, sources familiar with the discussions told Reuters. ', 'Chief Executive Herbert Diess, who has embarked on radical reforms of the multi-brand carmaker, may relinquish his leadership of the VW brand but retain his position as group CEO, the sources said. ', 'Volkswagen declined to comment. (Reporting by Edward Taylor and Jan Schwartz; Editing by Mark Bendeich and Maria Sheahan)']",2020-06-08 13:13:00,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
https://www.reuters.com/article/volkswagen-management-diess/exclusive-volkswagen-supervisory-board-to-discuss-vw-brand-leadership-sources-idUSL8N2DL3VK,['EXCLUSIVE-Volkswagen supervisory board to discuss VW brand leadership -sources'],"['June 8, 2020 /  1:33 PM / 10 days ago']","['* VW supervisory board to discuss leadership of VW brand -sources ', '* Herbert Diess may relinquish management of VW brand -sources ', '* Diess to retain position as group CEO - sources (Adds background) ', 'FRANKFURT, June 8 (Reuters) - Volkswagen’s supervisory board will discuss the leadership of the company’s core VW brand at an extraordinary meeting due to be held on Monday, sources familiar with the discussions told Reuters. ', 'The leadership discussion at helm of the world’s largest carmaker comes at a time when the German carmaker is attempting to push through painful cost cuts at the VW brand with the company’s powerful labour representatives. ', 'Chief Executive Herbert Diess, who has embarked on radical reforms of the multi-brand carmaker, may relinquish his leadership of the VW brand but retain his position as group CEO, the sources said. ', 'Volkswagen declined to comment. (Reporting by Edward Taylor and Jan Schwartz; Editing by Mark Bendeich and Maria Sheahan)']",2020-06-08 13:33:00,0.0,1.0,0.0,0.0,0.022,0.966,0.012,-0.1655
